[0.000000] (-) TimerEvent: {}
[0.000395] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.000513] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.000587] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.000635] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.000678] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.000750] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.000867] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.000928] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.000972] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.001026] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.001301] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.001371] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001475] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001535] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001578] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001632] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001678] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001993] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.002103] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.002245] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.002351] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.002401] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.002461] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.002508] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.002825] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.002909] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.003027] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.003092] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.003139] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.003193] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.003237] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.003905] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.004345] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.004617] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.005189] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.005259] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.005306] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.005399] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.005469] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.005849] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.005913] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.005959] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.005996] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.006031] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.006063] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.006097] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.006129] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.006161] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.006193] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.006226] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.006302] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.006343] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.006378] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.006413] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.006457] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.006561] (my_bot_description) JobQueued: {'identifier': 'my_bot_description', 'dependencies': OrderedDict()}
[0.267166] (my_bot_description) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.267676] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/my_bot_ros2_control.xml\n'}
[0.268065] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config\n'}
[0.268419] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_controllers.yaml\n'}
[0.268803] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot\n'}
[0.269024] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/base.yaml\n'}
[0.269207] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/motor.yaml\n'}
[0.269535] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/front_wheel.yaml\n'}
[0.269849] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/back_wheel.yaml\n'}
[0.270132] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/wheel.yaml\n'}
[0.270468] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/imu.yaml\n'}
[0.270622] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/sensors.yaml\n'}
[0.270760] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/twist_mux.yaml\n'}
[0.270894] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description\n'}
[0.271026] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/ros2_control\n'}
[0.271193] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/ros2_control/my_bot_ros2_control.xacro\n'}
[0.271326] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/ros2_control/ros2_control.xacro\n'}
[0.271455] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/robot.urdf.xacro\n'}
[0.271582] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/imu.xacro\n'}
[0.271707] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/my_bot.urdf.xacro\n'}
[0.271830] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/depth_camera.xacro\n'}
[0.271952] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/robot.urdf\n'}
[0.272078] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes\n'}
[0.272203] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/components\n'}
[0.272325] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/components/wheel.stl\n'}
[0.272447] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors\n'}
[0.272569] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors/rplidar_main.stl\n'}
[0.272692] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors/OAK-D-LITE.stl\n'}
[0.272815] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot\n'}
[0.272942] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/wheel_rim.stl\n'}
[0.273096] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/dead_plate.stl\n'}
[0.273332] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/bottom_plate.stl\n'}
[0.273522] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/bottom_plate_original.stl\n'}
