[0.000000] (-) TimerEvent: {}
[0.001355] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.001500] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.001555] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.001597] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.001634] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.001670] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.001706] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.001740] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.001774] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.001808] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.001842] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001876] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001910] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001945] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001980] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.002014] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.002048] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.002083] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.002118] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.002153] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.002188] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.002223] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.002257] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.002625] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.002708] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.002755] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.002795] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.002832] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.002868] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.002901] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.002935] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.002970] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.003006] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.003041] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.003076] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.003110] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.003144] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.003178] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.003212] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.003246] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.003279] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.003312] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.003345] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.003378] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.003413] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.003447] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.003480] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.003513] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.003546] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.003579] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.003610] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.003642] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.003675] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.003707] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.003754] (my_bot_description) JobQueued: {'identifier': 'my_bot_description', 'dependencies': OrderedDict()}
[0.283274] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config\n'}
[0.283473] (my_bot_description) StdoutLine: {'line': b'-- Installing: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_controllers.yaml\n'}
[0.284017] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot\n'}
[0.284432] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/base.yaml\n'}
[0.284901] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/motor.yaml\n'}
[0.285245] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/front_wheel.yaml\n'}
[0.285699] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/back_wheel.yaml\n'}
[0.286037] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/wheel.yaml\n'}
[0.286494] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/imu.yaml\n'}
[0.286656] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/config/my_bot/sensors.yaml\n'}
[0.286799] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description\n'}
[0.287041] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/robot.urdf.xacro\n'}
[0.287283] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/imu.xacro\n'}
[0.287423] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/my_bot.urdf.xacro\n'}
[0.287560] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/depth_camera.xacro\n'}
[0.287734] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/robot.urdf\n'}
[0.287869] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes\n'}
[0.288001] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/components\n'}
[0.288132] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/components/wheel.stl\n'}
[0.288268] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors\n'}
[0.288405] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors/rplidar_main.stl\n'}
[0.288547] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/sensors/OAK-D-LITE.stl\n'}
[0.288686] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot\n'}
[0.288915] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/wheel_rim.stl\n'}
[0.289177] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/dead_plate.stl\n'}
[0.289482] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/bottom_plate.stl\n'}
[0.289759] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/bottom_plate_original.stl\n'}
[0.290181] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/top_plate.stl\n'}
[0.290566] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/wheel_tire.stl\n'}
[0.290906] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/meshes/my_bot/motor.stl\n'}
[0.291222] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/inertial_macros.xacro\n'}
[0.291499] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/robot_core.xacro\n'}
[0.291804] (my_bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/orin/ros2_ws/install/my_bot_description/share/my_bot_description/description/camera.xacro\n'}
