[0.000000] (-) TimerEvent: {}
[0.003350] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.003384] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.003418] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.003452] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.003485] (-) JobUnselected: {'identifier': 'gazebo_dev'}
[0.003519] (-) JobUnselected: {'identifier': 'gazebo_msgs'}
[0.003552] (-) JobUnselected: {'identifier': 'gazebo_plugins'}
[0.003754] (-) JobUnselected: {'identifier': 'gazebo_ros'}
[0.003816] (-) JobUnselected: {'identifier': 'gazebo_ros_pkgs'}
[0.003860] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.003904] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.003942] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.003981] (-) JobUnselected: {'identifier': 'motion_planner'}
[0.004019] (-) JobUnselected: {'identifier': 'motor_controller'}
[0.004057] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.004094] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.004132] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.004169] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.004205] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.004241] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.004278] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.004313] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.004349] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.004385] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.004420] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.004456] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.004525] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.004564] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.004600] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.004637] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.004673] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.004711] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.004748] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.004785] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.004823] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.004866] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.004914] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.004987] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.005034] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.005074] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.005111] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.005147] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.005184] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.005222] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.005259] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.005295] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.005354] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.005394] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.005433] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.005470] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.005508] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.005545] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.005582] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.005619] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.005663] (rtabmap_ros) JobQueued: {'identifier': 'rtabmap_ros', 'dependencies': OrderedDict([('cv_bridge', '/home/orin/ros2_ws/install/cv_bridge'), ('image_geometry', '/home/orin/ros2_ws/install/image_geometry'), ('rtabmap_msgs', '/home/orin/ros2_ws/install/rtabmap_msgs'), ('rtabmap_python', '/home/orin/ros2_ws/install/rtabmap_python'), ('rtabmap', '/home/orin/ros2_ws/install/rtabmap'), ('rtabmap_conversions', '/home/orin/ros2_ws/install/rtabmap_conversions'), ('rtabmap_rviz_plugins', '/home/orin/ros2_ws/install/rtabmap_rviz_plugins'), ('rtabmap_sync', '/home/orin/ros2_ws/install/rtabmap_sync'), ('rtabmap_util', '/home/orin/ros2_ws/install/rtabmap_util'), ('rtabmap_odom', '/home/orin/ros2_ws/install/rtabmap_odom'), ('rtabmap_slam', '/home/orin/ros2_ws/install/rtabmap_slam'), ('rtabmap_viz', '/home/orin/ros2_ws/install/rtabmap_viz'), ('rtabmap_demos', '/home/orin/ros2_ws/install/rtabmap_demos'), ('rtabmap_examples', '/home/orin/ros2_ws/install/rtabmap_examples'), ('rtabmap_launch', '/home/orin/ros2_ws/install/rtabmap_launch')])}
[0.005754] (rtabmap_ros) JobStarted: {'identifier': 'rtabmap_ros'}
[0.058531] (rtabmap_ros) JobEnded: {'identifier': 'rtabmap_ros', 'rc': 1}
[0.069440] (-) EventReactorShutdown: {}
